videoId,numbering_ref,title_ref,guest_auto_ref,numbering_confirmed,guest_confirmed,category_confirmed,tags,memo
6KP_YIzzPvc,911,第一印象→イマ 前編,"天開司, 佐藤ホームズ, 歌衣メイカ, Marpril（立花 鈴, 谷田 透佳）",,,,,
oYfRMzLCVTE,910,驚いてくれ～い！サプライズプレゼントはエゴpart4,"天開司, 佐藤ホームズ, 歌衣メイカ, Marpril（立花 鈴, 谷田 透佳）",,,,,
ligGK4IdipY,909,バナナの謎をいつまで謎にしておくつもりだい？,"天開司, 佐藤ホームズ, 歌衣メイカ, Marpril（立花 鈴, 谷田 透佳）",,,,,
x8kxq3OdD84,908,Yo！そして銀テを飛ばそう！,"天開司, 佐藤ホームズ, 歌衣メイカ, Marpril（立花 鈴, 谷田 透佳）",,,,,
eQeH-6x0Rbg,907,もっと評価されるべき　伝説はここから始まった　part1リンク　先生、タグロックそこじゃないです,"天開司, 佐藤ホームズ, 歌衣メイカ, アイオーン・ヴェルナ",,,,,
FjQY4t8HKgE,906,ドロヘドロ早口おじさん,"竹谷竿丈, 甘乃あもこ, Marpril（立花 鈴, 谷田 透佳）",,,,,
jdHAlMogp0Y,905,年一で見ちゃう動画発表会,"天開司, 佐藤ホームズ, 歌衣メイカ, アイオーン・ヴェルナ",,,,,
m6lG-uLO0j8,904,人の鉄板話がスベるところ,"天開司, 佐藤ホームズ, 歌衣メイカ, アイオーン・ヴェルナ",,,,,
1ALbv3z35fU,903,【またやってきた】クイズ! 竹谷竿丈【ドットアビス】,"天開司, 佐藤ホームズ, 歌衣メイカ, アイオーン・ヴェルナ, 竹谷竿丈",,,,,
E78qC4OopFI,902,コーサカ、辞める,"天開司, 佐藤ホームズ, 歌衣メイカ, アイオーン・ヴェルナ",,,,,
t4ThPywZqwU,901,しかしコーサカに電流走る──！,"天開司, 佐藤ホームズ, 歌衣メイカ, アイオーン・ヴェルナ",,,,,
6z2gqy0yO2M,900,i 罠 bee wiΘ U,"竹谷竿丈, 甘乃あもこ, Marpril（立花 鈴, 谷田 透佳）",,,,,
LpL8KUz_YJA,899,free flow! -Marpril ga freeni-,"竹谷竿丈, 甘乃あもこ, Marpril（立花 鈴, 谷田 透佳）",,,,,
G_NT8U9fPtc,898,とある谷田のG退治,"竹谷竿丈, 甘乃あもこ, Marpril（立花 鈴, 谷田 透佳）",,,,,
M-6DjtXsWMk,897,"【2026年春夏】スマートカジュアル徹底解説！竹谷が教える""正解""コーデ","竹谷竿丈, 甘乃あもこ, Marpril（立花 鈴, 谷田 透佳）",,,,,
OKOvW4z6XjQ,,Bite me. (bite back remix)  Live ver.,,,,,,
